post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47611921,Significant raise of reports,technology,300,153,stratos123,2026-04-03 16:13:35,0.5083056478405316,True
47603737,AI for American-produced cement and concrete,technology,220,117,latchkey,2026-04-03 16:13:37,0.5294117647058824,True
47577120,Recover Apple Keychain,technology,102,37,speckx,2026-04-03 16:13:38,0.3592233009708738,False
47552562,CERN uses ultra-compact AI models on FPGAs for real-time LHC data filtering,technology,334,152,TORcicada,2026-04-03 16:13:42,0.4537313432835821,True
47620155,Marc Andreessen Is Right That AI Isn't Killing Jobs. Interest Rate Hikes Are,technology,35,8,bigbobbeeper,2026-04-03 16:13:43,0.2222222222222222,False
47618123,Priced Out by AI: The Memory Chip Crisis Hitting Every Consumer,technology,5,0,dxs,2026-04-03 16:13:45,0.0,False
47626347,F-15E Wreckage Photos Amid Iranian Claims It Shot Down an American Fighter,technology,23,12,uticus,2026-04-03 16:13:51,0.5,False
47622264,"Why OpenAI Decided to Buy 'TBPN,' Tech's Hottest News Show",technology,7,0,mudil,2026-04-03 16:13:53,0.0,False
47607947,Obfuscation is not security – AI can deobfuscate any minified JavaScript code,technology,36,34,rvz,2026-04-03 16:13:56,0.918918918918919,False
47618189,Tailscale's new macOS home,technology,524,269,tosh,2026-04-03 16:13:57,0.5123809523809524,True
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-03 16:14:05,0.3076923076923077,False
47604155,SpaceX files to go public,science,392,570,nutjob2,2026-04-03 16:14:59,1.450381679389313,True
47585860,"In Expanding de Sitter Space, Quantum Mechanics Gets More Elusive",science,32,2,pseudolus,2026-04-03 16:15:14,0.06060606060606061,False
47616595,Rewrites.bio: 60x speedup in Genomics QC and AI rewrite principles for Science,science,17,3,emiller88,2026-04-03 16:15:15,0.16666666666666666,False
47624879,Switzerland hosts 'CERN of semiconductor research',science,30,6,teleforce,2026-04-03 16:15:26,0.1935483870967742,False
47620867,Proton Workspace: An encrypted suite for team collaboration,science,26,3,teekert,2026-04-03 16:15:36,0.1111111111111111,False
47612775,The SpaceX IPO: retail investor notes,science,94,93,u1hcw9nx,2026-04-03 16:15:50,0.9789473684210527,False
47578086,Vulnerability research is cooked,science,255,168,pedro84,2026-04-03 16:16:06,0.65625,True
47588349,GitHub Monaspace Case Study,science,146,49,homebrewer,2026-04-03 16:16:09,0.3333333333333333,True
47617027,A forecast of the fair market value of SpaceX's businesses,science,98,196,ddp26,2026-04-03 16:16:10,1.97979797979798,False
47605831,OnlyOffice just pulled its 8-year partnership with Nextcloud,entertainment,22,2,TechTechTech,2026-04-03 16:16:55,0.08695652173913043,False
47622322,Timeline of Microsoft's SmartNIC Tech (Azure Boost),entertainment,5,0,WarOnPrivacy,2026-04-03 16:17:09,0.0,False
47612127,Men are ditching TV for YouTube as AI usage and social media fatigue grow,entertainment,46,125,bundie,2026-04-03 16:17:15,2.6595744680851063,False
47608059,43 hours battery life: Dell XPS 14 2026 lasts almost 3x longer vs MacBook Air 15,entertainment,29,10,akyuu,2026-04-03 16:17:19,0.3333333333333333,False
47560981,The road to electric in charts and data,entertainment,62,91,zeristor,2026-04-03 16:17:23,1.4444444444444444,False
47612202,Article about simple LSB steganography in JavaScript,entertainment,6,1,ernos,2026-04-03 16:17:25,0.14285714285714285,False
47608130,Montana referendum to outlaw corporate campaign contributions [video],entertainment,63,13,le-mark,2026-04-03 16:17:27,0.203125,False
47620442,NASA: Artemis II Real time tracking with multiple views,entertainment,10,0,ColinWright,2026-04-03 16:17:31,0.0,False
47575403,CodingFont: A game to help you pick a coding font,entertainment,491,236,nvahalik,2026-04-03 16:17:34,0.4796747967479675,True
47597935,CERN levels up with new superconducting karts,entertainment,394,85,fnands,2026-04-03 16:17:35,0.21518987341772153,True
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,64,4,nemoniac,2026-04-03 16:17:36,0.06153846153846154,False
47546775,Back to FreeBSD – Part 2 – Jails,entertainment,117,30,vermaden,2026-04-03 16:17:40,0.2542372881355932,False
47593958,Karakuri Mechanical Art,entertainment,22,2,marukodo,2026-04-03 16:17:52,0.08695652173913043,False
