post_id,title,category,score,num_comments,author,collected_at
47611921,Significant raise of reports,technology,310,155,stratos123,2026-04-04 19:04:50
47603737,AI for American-produced cement and concrete,technology,223,117,latchkey,2026-04-04 19:04:50
47620155,Marc Andreessen Is Right That AI Isn't Killing Jobs. Interest Rate Hikes Are,technology,38,9,bigbobbeeper,2026-04-04 19:04:50
47618123,Priced Out by AI: The Memory Chip Crisis Hitting Every Consumer,technology,6,0,dxs,2026-04-04 19:04:50
47636556,The Web Is an Antitrust Wedge,technology,6,0,genericlemon24,2026-04-04 19:04:51
47626347,F-15E wreckage photos amid Iranian claims it shot down an American fighter,technology,36,1,uticus,2026-04-04 19:04:51
47638640,AI Whiz Kids Dropped Out of College and Got Investors to Pay Their Bills,technology,5,2,cebert,2026-04-04 19:04:51
47632503,"Iran strikes leave Amazon availability zones ""hard down"" in Bahrain and Dubai",technology,225,106,upofadown,2026-04-04 19:04:51
47636600,"Apple at 50, blind people and our allies shaping Apple accessibility innovation",technology,5,2,sholladay,2026-04-04 19:04:51
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",technology,91,39,Bender,2026-04-04 19:04:51
47622264,"Why OpenAI Decided to Buy 'TBPN,' Tech's Hottest News Show",technology,7,0,mudil,2026-04-04 19:04:51
47634567,NHS staff resist using Palantir software,technology,14,0,abdelhousni,2026-04-04 19:04:51
47618189,Tailscale's new macOS home,technology,557,305,tosh,2026-04-04 19:04:51
47640722,12k AI-generated blog posts added in a single commit,technology,117,109,noslop,2026-04-04 19:04:51
47593620,1-Bit Bonsai: The First Commercially Viable 1-Bit LLMs,technology,9,1,wmf,2026-04-04 19:04:51
47583391,Windows++: C++ Application Framework for Windows by Paul DiLascia,technology,20,6,teleforce,2026-04-04 19:04:51
47593634,Ordinary Lab Gloves May Have Skewed Microplastic Data,technology,138,62,WaitWaitWha,2026-04-04 19:04:51
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-04 19:04:54
47632687,Elon Musk insists banks working on SpaceX IPO must buy Grok subscriptions,science,18,5,abawany,2026-04-04 19:04:57
47604155,SpaceX files to go public,science,393,571,nutjob2,2026-04-04 19:04:58
